epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,1750.67,1.353,0.60454,0.85338,0.46068,0.37466,0.37627,0.17059,2.11191,2.47308,1.02204,0.031685,0.031685,0.031685
113,1766.03,1.34645,0.60053,0.85488,0.42964,0.41293,0.38437,0.17431,2.13668,2.39188,1.02541,0.03152,0.03152,0.03152
114,1781.47,1.34498,0.6023,0.85581,0.49856,0.33376,0.3384,0.15453,2.13969,2.64286,1.02795,0.031355,0.031355,0.031355
115,1797.15,1.3406,0.59994,0.84482,0.47001,0.38033,0.3529,0.16028,2.21255,2.58676,1.0573,0.03119,0.03119,0.03119
116,1812.98,1.34,0.60059,0.85314,0.46541,0.37291,0.35113,0.15974,2.14022,2.61084,1.01803,0.031025,0.031025,0.031025
117,1828.64,1.35059,0.60191,0.8471,0.47911,0.38224,0.36629,0.16963,2.12339,2.68497,1.00933,0.03086,0.03086,0.03086
118,1844.36,1.32962,0.59939,0.84421,0.46059,0.39526,0.36453,0.16661,2.10959,2.58352,1.01506,0.030695,0.030695,0.030695
119,1860.16,1.3456,0.59447,0.84697,0.55894,0.40407,0.39327,0.18141,2.08214,2.49561,1.01134,0.03053,0.03053,0.03053
120,1875.81,1.33634,0.59737,0.8406,0.59615,0.32261,0.36529,0.17506,2.10549,2.57333,1.02202,0.030365,0.030365,0.030365
121,1891.52,1.34155,0.599,0.85101,0.44909,0.38081,0.34586,0.15809,2.14651,2.69969,1.03365,0.0302,0.0302,0.0302
122,1907.26,1.31949,0.59318,0.8468,0.55214,0.38431,0.39727,0.17482,2.12305,2.57045,1.03491,0.030035,0.030035,0.030035
123,1923.01,1.29912,0.57889,0.84225,0.58592,0.38956,0.40946,0.18859,2.10194,2.40258,1.01946,0.02987,0.02987,0.02987
124,1938.75,1.29998,0.58984,0.8491,0.46996,0.40893,0.37467,0.17043,2.07848,2.53803,1.00825,0.029705,0.029705,0.029705
125,1954.34,1.29393,0.57554,0.84625,0.44065,0.39407,0.35678,0.17474,2.11631,2.59687,1.0223,0.02954,0.02954,0.02954
126,1969.73,1.30752,0.58052,0.84988,0.41092,0.37951,0.34524,0.16508,2.1501,2.82431,1.03156,0.029375,0.029375,0.029375
127,1985.08,1.28324,0.58019,0.84271,0.46443,0.40846,0.37683,0.16923,2.14083,2.40916,1.01729,0.02921,0.02921,0.02921
128,2000.55,1.29252,0.57913,0.84197,0.46101,0.38903,0.35677,0.16003,2.14878,2.70635,1.01234,0.029045,0.029045,0.029045
129,2015.83,1.2782,0.58207,0.84159,0.69059,0.36025,0.40927,0.19024,2.12642,2.48258,1.01184,0.02888,0.02888,0.02888
130,2031.25,1.30022,0.58612,0.84043,0.47802,0.42333,0.37372,0.1704,2.17483,2.67715,1.02874,0.028715,0.028715,0.028715
131,2046.67,1.2944,0.58653,0.85016,0.42839,0.41958,0.38946,0.17225,2.15641,2.55782,1.02652,0.02855,0.02855,0.02855
132,2062.08,1.29643,0.57372,0.83671,0.46416,0.36262,0.33667,0.15358,2.1366,2.90287,1.02011,0.028385,0.028385,0.028385
133,2077.42,1.30347,0.58192,0.83574,0.46407,0.42484,0.39229,0.17274,2.09656,2.5431,1.01708,0.02822,0.02822,0.02822
134,2092.79,1.27187,0.5664,0.83656,0.47068,0.37651,0.36224,0.16488,2.10965,2.64912,1.01643,0.028055,0.028055,0.028055
135,2108.29,1.25998,0.55759,0.83873,0.41164,0.41567,0.37455,0.17671,2.05437,2.43469,0.99958,0.02789,0.02789,0.02789
136,2123.87,1.26527,0.55946,0.84221,0.52261,0.37816,0.3533,0.17185,2.12543,2.65625,1.02991,0.027725,0.027725,0.027725
137,2139.48,1.27672,0.57007,0.83996,0.46417,0.37834,0.35897,0.169,2.12514,2.56283,1.0236,0.02756,0.02756,0.02756
138,2155.05,1.27155,0.57161,0.84131,0.53228,0.39822,0.3912,0.18033,2.04917,2.34463,0.99494,0.027395,0.027395,0.027395
139,2170.69,1.24333,0.55484,0.83931,0.42374,0.42547,0.38592,0.18361,2.05978,2.43644,1,0.02723,0.02723,0.02723
140,2186.13,1.28103,0.57526,0.83382,0.54165,0.39615,0.3926,0.17958,2.11091,2.44418,1.01651,0.027065,0.027065,0.027065
141,2201.58,1.25666,0.56546,0.83368,0.54048,0.36324,0.38786,0.1796,2.07789,2.42722,0.99937,0.0269,0.0269,0.0269
142,2216.99,1.27999,0.56491,0.83682,0.45316,0.40627,0.3773,0.16674,2.11283,2.61209,1.00817,0.026735,0.026735,0.026735
143,2232.62,1.24632,0.56267,0.83511,0.54938,0.39648,0.38009,0.17896,2.11844,2.55939,1.03255,0.02657,0.02657,0.02657
144,2248.26,1.23082,0.55056,0.83741,0.49364,0.43407,0.3982,0.18097,2.12333,2.54679,1.02632,0.026405,0.026405,0.026405
145,2263.95,1.24102,0.55467,0.83434,0.55795,0.39385,0.38651,0.17883,2.03846,2.56892,1.00315,0.02624,0.02624,0.02624
146,2279.58,1.21053,0.54482,0.83307,0.52118,0.40455,0.38145,0.17611,2.04878,2.52773,1.00304,0.026075,0.026075,0.026075
147,2295.44,1.2278,0.54976,0.83574,0.61742,0.37915,0.39654,0.18376,2.08182,2.4097,1.00903,0.02591,0.02591,0.02591
148,2311.07,1.20976,0.54634,0.82533,0.59696,0.39552,0.41923,0.20215,2.06942,2.35465,1.00857,0.025745,0.025745,0.025745
149,2326.8,1.21592,0.53804,0.83188,0.51842,0.4321,0.4143,0.19507,2.00228,2.37263,0.98604,0.02558,0.02558,0.02558
150,2342.53,1.22818,0.54925,0.83343,0.57474,0.39639,0.40153,0.18889,2.09773,2.38475,1.0138,0.025415,0.025415,0.025415
