epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3976.06,1.54911,0.72851,0.89242,0.56203,0.38987,0.40916,0.17268,2.29895,2.5452,1.05861,0.02789,0.02789,0.02789
136,4005.34,1.57236,0.73944,0.88086,0.59165,0.40158,0.42588,0.17281,2.30267,2.34734,1.06115,0.027725,0.027725,0.027725
137,4034.46,1.56339,0.73681,0.87997,0.57844,0.40381,0.42827,0.17926,2.27793,2.44824,1.05334,0.02756,0.02756,0.02756
138,4063.67,1.5538,0.72605,0.88249,0.50914,0.42847,0.41172,0.16883,2.30448,2.55399,1.07185,0.027395,0.027395,0.027395
139,4092.93,1.53948,0.71519,0.8827,0.59543,0.3786,0.40062,0.16246,2.2955,2.66302,1.06562,0.02723,0.02723,0.02723
140,4122.12,1.56743,0.73928,0.87621,0.56655,0.43759,0.43634,0.17581,2.29245,2.4793,1.06473,0.027065,0.027065,0.027065
141,4151.47,1.49996,0.70791,0.88018,0.53982,0.40492,0.41552,0.17997,2.29633,2.55143,1.0684,0.0269,0.0269,0.0269
142,4180.67,1.54037,0.72,0.87451,0.44218,0.41523,0.38334,0.15742,2.33106,2.7012,1.07352,0.026735,0.026735,0.026735
143,4209.8,1.51378,0.70569,0.87937,0.63141,0.41155,0.43657,0.18036,2.29213,2.45025,1.06612,0.02657,0.02657,0.02657
144,4238.98,1.52093,0.71543,0.8827,0.55212,0.43401,0.42849,0.17963,2.30217,2.61797,1.06192,0.026405,0.026405,0.026405
145,4268.17,1.49542,0.69526,0.87503,0.57839,0.38503,0.4248,0.17642,2.32004,2.62591,1.06086,0.02624,0.02624,0.02624
146,4297.4,1.50909,0.70286,0.87541,0.59597,0.40197,0.42644,0.17579,2.32203,2.55003,1.06363,0.026075,0.026075,0.026075
147,4326.64,1.50727,0.69707,0.87614,0.52723,0.43349,0.41,0.16945,2.31082,2.61179,1.06426,0.02591,0.02591,0.02591
148,4355.91,1.51596,0.70965,0.86923,0.50898,0.43033,0.40394,0.17374,2.316,2.65851,1.05737,0.025745,0.025745,0.025745
149,4385.13,1.50184,0.69676,0.87604,0.4504,0.45399,0.40833,0.17662,2.30428,2.5743,1.05517,0.02558,0.02558,0.02558
150,4414.38,1.51375,0.70837,0.88531,0.48588,0.41842,0.40319,0.17017,2.34043,2.66912,1.06197,0.025415,0.025415,0.025415
151,4443.57,1.50359,0.70287,0.87177,0.50523,0.40853,0.39873,0.17046,2.3161,2.59119,1.05459,0.02525,0.02525,0.02525
152,4472.96,1.50677,0.69962,0.87755,0.49406,0.42674,0.40654,0.17328,2.31541,2.51632,1.05979,0.025085,0.025085,0.025085
153,4502.16,1.51337,0.70064,0.88052,0.5268,0.42002,0.41843,0.16864,2.34236,2.61386,1.06656,0.02492,0.02492,0.02492
154,4531.48,1.49984,0.69761,0.87497,0.44809,0.4279,0.39822,0.17649,2.31544,2.56942,1.06304,0.024755,0.024755,0.024755
155,4560.73,1.50524,0.69824,0.87128,0.54721,0.4042,0.40041,0.16761,2.30365,2.6223,1.06668,0.02459,0.02459,0.02459
156,4589.88,1.49317,0.69813,0.87731,0.46827,0.4327,0.42677,0.16757,2.36204,2.58699,1.07766,0.024425,0.024425,0.024425
157,4619.06,1.49275,0.69667,0.87621,0.56873,0.41267,0.41164,0.17059,2.33886,2.61179,1.07456,0.02426,0.02426,0.02426
158,4648.29,1.47689,0.68122,0.87436,0.49747,0.42486,0.40664,0.16521,2.34884,2.67073,1.08052,0.024095,0.024095,0.024095
159,4677.5,1.46649,0.68624,0.86871,0.53351,0.40516,0.3969,0.1707,2.33281,2.77674,1.07357,0.02393,0.02393,0.02393
160,4706.97,1.48021,0.69061,0.87206,0.52711,0.36857,0.38683,0.16125,2.30973,2.71829,1.06427,0.023765,0.023765,0.023765
161,4736.17,1.51028,0.69285,0.87478,0.50557,0.37778,0.37173,0.15336,2.25856,2.68086,1.05349,0.0236,0.0236,0.0236
162,4765.46,1.45598,0.67707,0.87151,0.51939,0.39893,0.37192,0.16002,2.25918,2.64218,1.05046,0.023435,0.023435,0.023435
163,4794.78,1.45798,0.67885,0.87091,0.57676,0.39937,0.391,0.15948,2.28862,2.59692,1.06083,0.02327,0.02327,0.02327
164,4824.09,1.43658,0.67849,0.87509,0.55284,0.41062,0.4114,0.16967,2.31154,2.51213,1.0615,0.023105,0.023105,0.023105
165,4853.46,1.48303,0.68492,0.87131,0.58166,0.4102,0.41669,0.17301,2.27369,2.55557,1.05426,0.02294,0.02294,0.02294
166,4882.96,1.47516,0.69305,0.88048,0.50944,0.40544,0.38862,0.16349,2.33407,2.66657,1.07016,0.022775,0.022775,0.022775
167,4912.2,1.42847,0.65937,0.8684,0.52704,0.4008,0.3883,0.16599,2.30325,2.57164,1.05829,0.02261,0.02261,0.02261
168,4941.54,1.4571,0.66922,0.86607,0.5415,0.37976,0.39712,0.16116,2.33532,2.67513,1.06666,0.022445,0.022445,0.022445
169,4970.71,1.42741,0.65867,0.87059,0.53321,0.38056,0.39804,0.17052,2.3211,2.62366,1.06419,0.02228,0.02228,0.02228
170,5000.22,1.43252,0.65576,0.86247,0.47401,0.42171,0.39893,0.16774,2.31876,2.72961,1.06298,0.022115,0.022115,0.022115
171,5029.64,1.42951,0.66653,0.86232,0.46273,0.42722,0.39093,0.16424,2.32763,2.66421,1.06576,0.02195,0.02195,0.02195
172,5059.04,1.42862,0.66176,0.86238,0.53104,0.407,0.40705,0.16608,2.33978,2.74248,1.06424,0.021785,0.021785,0.021785
173,5088.4,1.40809,0.66321,0.86712,0.47617,0.4098,0.38517,0.16303,2.3314,2.81175,1.06239,0.02162,0.02162,0.02162
174,5117.71,1.40222,0.65766,0.85449,0.60375,0.37976,0.39635,0.16787,2.29892,2.79055,1.06402,0.021455,0.021455,0.021455
175,5147.16,1.41198,0.65819,0.86052,0.52908,0.44112,0.42141,0.18364,2.26324,2.60935,1.05246,0.02129,0.02129,0.02129
176,5176.42,1.41468,0.65297,0.86879,0.47045,0.43226,0.39939,0.16918,2.28985,2.62286,1.05701,0.021125,0.021125,0.021125
